"product_id","current_type","new_type","product_name"
"8448556040381","0","Women's Outerwear","Cross Border Multi-color Solid Color 3D Printing Digital Printing Hooded Sweater Brown Lining Cotton-padded Jacket"
"8448554631357","0","Women's Bottoms","Pure color all-match pants"
"8448553681085","0","Women's Tops","Round Neck Solid Color Long Sleeve T-Shirt"
"8448529137853","0","Men's Shirts","Fashionable New Printed Loose-fitting Women's Top"
"8447296110781","Women's Clothing","Women's Bottoms","Cream Textured Tie-Front Crop Top & Mini Skirt Set"
"8447282905277","Fitness Accessories","Training Essentials","Go Love Joy Half-Finger Fitness & Cycling Gloves"
"8447161041085","","Accessories","Original Fluffy Cat Ear Hat Lolita Spiky Star Braided Hair Hat Autumn Winter Warmth Subculture Y2K Headwear"
"8447160942781","","Accessories","Motorcycle Balaclava Full Face Mask Skull Print Motorbike Full Face Mask Windproof Skiing Head Neck Warmer Bicycle Helmet Liner"
"8447155830973","","Active Tops","Fashionable Pink Floral Round Neck Sleeveless Vest Dress for Women Casual Summer Style"
"8447131582653","","Men's Shirts","Elegant Women's V-Neck Ruffle Blouse with Tie Waist, Lantern Sleeves Long Sleeve Top"
"8379407728829","Men's Underwear","Men's Pants","Men's Slim-Fit Elastic Waist Jogger Pants"
"8379407696061","Men's Jeans","Men's Pants","Men's Korean Streetwear Wide Leg Jeans"
"8379407663293","","Men's Pants","Men's Loose Fit Streetwear Jogger Trousers"
"8379407630525","","Men's Shirts","Men's 3-Piece Slim Fit Business & Wedding Suit"
"8379407564989","","Men's Shirts","Men's Summer Polo Shirt - Elevate Your Casual Look with Breathable Comfort"
"8379407532221","Men Jeans","Men's Pants","Men's Multi-Pocket Regular Fit Street Jeans"
"8379407499453","men","Active Tops","Men's Ice Silk Mesh Vest Lightweight Sports Summer Wear"
"8379407368381","","Men's Shorts","Men's Elastic Waist Sports Shorts - Comfortable & Stylish for Summer Adventures"
"8379407335613","Men's Knitwear","Men's Shirts","Men's Turtleneck Knit Pullover Sweater"
"8379407270077","men","Men's T-Shirts","Men's Waffle Knit Round Neck T-Shirt"
"8379407237309","mens wear","Men's T-Shirts","Men's Heavy Cotton Vintage Washed Tee"
"8379407204541","mens wear","Performance Wear","Night Reflective Windbreaker Jacket"
"8379054915773","Men's Underwear","Men's Loungewear","Hanes Men's Cool Cotton Boxer Briefs Pack | VennixStore"
